FormulaName	TargetTable	TargetColumn	Stage	Template
HSE_TO_AGR_Bypass_SOR_CN2_2_mass	CalcResult_FlaringThermaloxidizer	CN2_2_mass	AGR	HSE_TO_AGR_{mode}_{type}_CN2_2_mass
HSE_TO_AGR_Bypass_SOR_CN3_1	CalcResult_FlaringThermaloxidizer	CN3_1	AGR	HSE_TO_AGR_{mode}_{type}_CN3_1
HSE_TO_AGR_Bypass_SOR_CN3_1_mass	CalcResult_FlaringThermaloxidizer	CN3_1_mass	AGR	HSE_TO_AGR_{mode}_{type}_CN3_1_mass
HSE_TO_AGR_Bypass_SOR_CO	CalcResult_FlaringThermaloxidizer	CO	AGR	HSE_TO_AGR_{mode}_{type}_CO
HSE_TO_AGR_Bypass_SOR_CO2	CalcResult_FlaringThermaloxidizer	CO2	AGR	HSE_TO_AGR_{mode}_{type}_CO2
HSE_TO_AGR_Bypass_SOR_CO2_mass	CalcResult_FlaringThermaloxidizer	CO2_mass	AGR	HSE_TO_AGR_{mode}_{type}_CO2_mass
HSE_TO_AGR_Bypass_SOR_COS	CalcResult_FlaringThermaloxidizer	COS	AGR	HSE_TO_AGR_{mode}_{type}_COS
HSE_TO_AGR_Bypass_SOR_COS_mass	CalcResult_FlaringThermaloxidizer	COS_mass	AGR	HSE_TO_AGR_{mode}_{type}_COS_mass
HSE_TO_AGR_Bypass_SOR_CO_mass	CalcResult_FlaringThermaloxidizer	CO_mass	AGR	HSE_TO_AGR_{mode}_{type}_CO_mass
HSE_TO_AGR_Bypass_SOR_CS2	CalcResult_FlaringThermaloxidizer	CS2	AGR	HSE_TO_AGR_{mode}_{type}_CS2
HSE_TO_AGR_Bypass_SOR_CS2_mass	CalcResult_FlaringThermaloxidizer	CS2_mass	AGR	HSE_TO_AGR_{mode}_{type}_CS2_mass
HSE_TO_AGR_Bypass_SOR_ConcCarbonMonoxide	CalcResult_FlaringThermaloxidizer	ConcCarbonMonoxide	AGR	HSE_TO_AGR_{mode}_{type}_ConcCarbonMonoxide
HSE_TO_AGR_Bypass_SOR_ConcNitrogenOxides	CalcResult_FlaringThermaloxidizer	ConcNitrogenOxides	AGR	HSE_TO_AGR_{mode}_{type}_ConcNitrogenOxides
HSE_TO_AGR_Bypass_SOR_Density0	CalcResult_FlaringThermaloxidizer	Density0	AGR	HSE_TO_AGR_{mode}_{type}_Density0
HSE_TO_AGR_Bypass_SOR_EBenzene	CalcResult_FlaringThermaloxidizer	EBenzene	AGR	HSE_TO_AGR_{mode}_{type}_EBenzene
